municipio_distrito;latitude;longitude;fecha_informe;casos_confirmados_activos_ultimos_14dias;tasa_incidencia_acumulada_activos_ultimos_14dias;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;poblacion_distrito;tasa_incidencia_acumulada_total;codigo_geometria
Becerril de la Sierra;;;29/06/2021 12:04;;;;0;661;;11251,06;186
Fuenlabrada;;;29/06/2021 12:04;;;125;64,26;21816;;11215,65;587
Garganta de los Montes;;;29/06/2021 12:04;;;;0;26;;6896,55;626
Pinto;;;29/06/2021 12:04;;;27;50,63;4696;;8806,38;1132
Alameda del Valle;;;29/06/2021 12:04;;;;0;7;;3431,37;35
Berzosa del Lozoya;;;29/06/2021 12:04;;;;0;54;;24324,32;203
Los Santos de la Humosa;;;29/06/2021 12:04;;;6;222,72;228;;8463,25;1375
El Álamo;;;29/06/2021 12:04;;;;10,14;1016;;10302,17;40
Pelayos de la Presa;;;29/06/2021 12:04;;;;0;231;;8632,29;1090
Galapagar;;;29/06/2021 12:04;;;21;60,87;3592;;10412,5;611
Griñón;;;29/06/2021 12:04;;;;38,33;1204;;11538,09;663
Gargantilla del Lozoya y Pinilla de Buitrago;;;29/06/2021 12:04;;;;0;43;;13915,86;632
Aldea del Fresno;;;29/06/2021 12:04;;;;0;274;;9216,28;88
Carabaña;;;29/06/2021 12:04;;;;0;192;;9226,33;357
Talamanca de Jarama;;;29/06/2021 12:04;;;;49,85;411;;10244,27;1454
Chapinería;;;29/06/2021 12:04;;;;0;133;;5509,53;513
Ciempozuelos;;;29/06/2021 12:04;;;9;35,85;2433;;9691,68;409
Ajalvir;;;29/06/2021 12:04;;;;63,55;306;;6481,68;29
San Lorenzo de El Escorial;;;29/06/2021 12:04;;;28;151,09;1619;;8736,24;1317
Gascones;;;29/06/2021 12:04;;;;0;11;;6250;647
San Martín de la Vega;;;29/06/2021 12:04;;;9;45,84;1956;;9962,82;1322
Móstoles;;;29/06/2021 12:04;;;139;66,09;22014;;10467,46;920
Leganés;;;29/06/2021 12:04;;;124;64,88;18490;;9674,85;745
Braojos;;;29/06/2021 12:04;;;;0;25;;12135,92;246
Cubas de la Sagra;;;29/06/2021 12:04;;;9;137,64;760;;11622,57;506
Algete;;;29/06/2021 12:04;;;16;76,69;2425;;11622,89;91
Mejorada del Campo;;;29/06/2021 12:04;;;10;42,3;2401;;10156,94;843
Loeches;;;29/06/2021 12:04;;;10;112,4;816;;9171,63;758
Parla;;;29/06/2021 12:04;;;97;72,67;15126;;11331,86;1065
Fuentidueña de Tajo;;;29/06/2021 12:04;;;;0;218;;10205,99;604
Ambite;;;29/06/2021 12:04;;;;0;66;;10837,44;112
Torremocha de Jarama;;;29/06/2021 12:04;;;;93,02;61;;5674,42;1533
Anchuelo;;;29/06/2021 12:04;;;;0;76;;5909,8;127
Los Molinos;;;29/06/2021 12:04;;;;45,12;499;;11256,49;875
Soto del Real;;;29/06/2021 12:04;;;5;55,67;777;;8651,6;1441
Valverde de Alcalá;;;29/06/2021 12:04;;;;0;37;;7429,72;1662
Fuente el Saz de Jarama;;;29/06/2021 12:04;;;;29,38;866;;12722,2;590
Horcajo de la Sierra-Aoslos;;;29/06/2021 12:04;;;;0;7;;4605,26;702
Valdeolmos-Alalpardo;;;29/06/2021 12:04;;;;47,26;414;;9782,61;1625
Campo Real;;;29/06/2021 12:04;;;;62,31;734;;11433,02;339
Valdeavero;;;29/06/2021 12:04;;;;62,85;116;;7291,01;1564
Villamanrique de Tajo;;;29/06/2021 12:04;;;;0;63;;8910,89;1739
Cobeña;;;29/06/2021 12:04;;;6;80,15;818;;10927,06;416
Fresnedillas de la Oliva;;;29/06/2021 12:04;;;;121,14;141;;8540,28;565
Valdilecha;;;29/06/2021 12:04;;;;33,53;343;;11502,35;1659
El Berrueco;;;29/06/2021 12:04;;;;128,7;72;;9266,41;210
Pezuela de las Torres;;;29/06/2021 12:04;;;;0;57;;6574,39;1111
Villar del Olmo;;;29/06/2021 12:04;;;;48,1;133;;6397,31;1795
Guadarrama;;;29/06/2021 12:04;;;16;96,62;1635;;9873,19;685
San Martín de Valdeiglesias;;;29/06/2021 12:04;;;;34,57;934;;10761,61;1338
Torrelodones;;;29/06/2021 12:04;;;23;96,23;2412;;10091,21;1527
Boadilla del Monte;;;29/06/2021 12:04;;;93;163,92;4908;;8650,9;225
Torrejón de Velasco;;;29/06/2021 12:04;;;;45,6;468;;10670,31;1505
Villanueva de Perales;;;29/06/2021 12:04;;;;62,81;134;;8417,09;1782
Tielmes;;;29/06/2021 12:04;;;;109,65;332;;12134,5;1467
San Sebastián de los Reyes;;;29/06/2021 12:04;;;78;85,5;10270;;11258;1343
Guadalix de la Sierra;;;29/06/2021 12:04;;;;31,06;521;;8090,06;679
Humanes de Madrid;;;29/06/2021 12:04;;;20;101,52;2230;;11319,22;730
Chinchón;;;29/06/2021 12:04;;;6;110,84;506;;9347,87;528
Cadalso de los Vidrios;;;29/06/2021 12:04;;;;32,82;293;;9616,02;318
Hoyo de Manzanares;;;29/06/2021 12:04;;;8;93,8;824;;9661,16;724
Torrejón de la Calzada;;;29/06/2021 12:04;;;7;76,14;890;;9680,23;1492
Estremera;;;29/06/2021 12:04;;;;0;146;;10944,53;552
Corpa;;;29/06/2021 12:04;;;;0;40;;5532,5;480
Meco;;;29/06/2021 12:04;;;12;81,8;1036;;7062,03;838
Madarcos;;;29/06/2021 12:04;;;;0;6;;12244,9;783
Zarzalejo;;;29/06/2021 12:04;;;;57,67;134;;7727,8;1837
Arganda del Rey;;;29/06/2021 12:04;;;50;88,22;5595;;9871,56;148
Collado Mediano;;;29/06/2021 12:04;;;;56,3;582;;8191,41;468
Daganzo de Arriba;;;29/06/2021 12:04;;;7;67,72;880;;8513,11;534
Manzanares El Real;;;29/06/2021 12:04;;;8;89,53;782;;8751,12;822
Buitrago del Lozoya;;;29/06/2021 12:04;;;;0;208;;10617,66;278
Valdelaguna;;;29/06/2021 12:04;;;;102,15;72;;7354,44;1570
Valdepiélagos;;;29/06/2021 12:04;;;;325,73;46;;7491,86;1631
Casarrubuelos;;;29/06/2021 12:04;;;;26,01;397;;10325,1;360
Miraflores de la Sierra;;;29/06/2021 12:04;;;;62,87;599;;9415,28;856
Paracuellos de Jarama;;;29/06/2021 12:04;;;19;73,31;2210;;8527,22;1049
El Vellón;;;29/06/2021 12:04;;;7;349,3;149;;7435,13;1684
Lozoya;;;29/06/2021 12:04;;;;0;27;;4655,17;761
Collado Villalba;;;29/06/2021 12:04;;;42;65,24;8229;;12782,32;474
Colmenarejo;;;29/06/2021 12:04;;;;43,34;808;;8754,06;442
Villavieja del Lozoya;;;29/06/2021 12:04;;;;0;22;;8396,95;1821
Prádena del Rincón;;;29/06/2021 12:04;;;;0;;;3200;1179
La Cabrera;;;29/06/2021 12:04;;;5;182,75;359;;13121,35;301
Sevilla la Nueva;;;29/06/2021 12:04;;;;42,58;938;;9986,16;1415
La Acebeda;;;29/06/2021 12:04;;;;0;;;2941,18;14
Redueña;;;29/06/2021 12:04;;;;0;8;;2962,96;1219
Robledillo de la Jara;;;29/06/2021 12:04;;;;0;11;;11578,95;1245
La Serna del Monte;;;29/06/2021 12:04;;;;0;17;;19540,23;1381
Colmenar de Oreja;;;29/06/2021 12:04;;;;24,53;820;;10056,41;437
Rozas de Puerto Real;;;29/06/2021 12:04;;;;180,18;40;;7207,21;1283
Valdemanco;;;29/06/2021 12:04;;;;0;54;;5607,48;1586
Brunete;;;29/06/2021 12:04;;;7;65,06;1025;;9526,02;262
Titulcia;;;29/06/2021 12:04;;;;0;125;;9321,4;1473
Villa del Prado;;;29/06/2021 12:04;;;;0;846;;12700,8;1718
Lozoyuela-Navas-Sieteiglesias;;;29/06/2021 12:04;;;;149,25;126;;9402,99;9015
Quijorna;;;29/06/2021 12:04;;;6;169,44;395;;11155,04;1198
Valdemoro;;;29/06/2021 12:04;;;25;32,35;6603;;8545,36;1610
