municipio_distrito;latitude;longitude;fecha_informe;casos_confirmados_activos_ultimos_14dias;tasa_incidencia_acumulada_activos_ultimos_14dias;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;poblacion_distrito;tasa_incidencia_acumulada_total;codigo_geometria
San Fernando de Henares;;;25/05/2021 11:53;;;89;224,94;4370;;11044,84;1300
Villalbilla;;;25/05/2021 11:53;;;19;132,02;983;;6830,18;1723
El Escorial;;;25/05/2021 11:53;;;31;189,43;1272;;7772,69;549
Colmenar del Arroyo;;;25/05/2021 11:53;;;6;336,13;152;;8515,41;421
Torrejón de Ardoz;;;25/05/2021 11:53;;;305;229,58;13794;;10382,9;1489
Piñuécar-Gandullas;;;25/05/2021 11:53;;;;558,66;11;;6145,25;1147
Brea de Tajo;;;25/05/2021 11:53;;;;395,26;93;;18379,45;259
El Molar;;;25/05/2021 11:53;;;24;258,43;841;;9055,67;869
Belmonte de Tajo;;;25/05/2021 11:53;;;;237,67;151;;8972,07;199
Torres de la Alameda;;;25/05/2021 11:53;;;;12,77;673;;8591,85;1548
Somosierra;;;25/05/2021 11:53;;;;1149,43;8;;9195,4;1436
Alpedrete;;;25/05/2021 11:53;;;41;276,3;1524;;10270,23;105
Orusco de Tajuña;;;25/05/2021 11:53;;;6;463,32;114;;8803,09;1028
La Hiruela;;;25/05/2021 11:53;;;;0;;;4615,38;698
Cervera de Buitrago;;;25/05/2021 11:53;;;;0;16;;9876,54;395
Getafe;;;25/05/2021 11:53;;;386;208,45;18182;;9818,55;650
Ribatejada;;;25/05/2021 11:53;;;7;873,91;75;;9363,3;1224
Villaconejos;;;25/05/2021 11:53;;;;0;399;;11659,85;1701
Valdetorres de Jarama;;;25/05/2021 11:53;;;8;174,63;333;;7269,16;1646
Pozuelo de Alarcón;;;25/05/2021 11:53;;;193;221,42;8630;;9900,76;1150
Madrid-Retiro;;;18/05/2021 12:01;;;276;229,31;11957;;9934,36;79603
Madrid-Salamanca;;;18/05/2021 12:01;;;413;279,35;15929;;10774,41;79604
Madrid-Centro;;;18/05/2021 12:01;;;374;266,15;15143;;10776,1;79601
Madrid-Arganzuela;;;18/05/2021 12:01;;;382;245,43;15562;;9998,2;79602
Madrid-Chamartín;;;18/05/2021 12:01;;;338;229,08;15280;;10355,88;79605
Madrid-Tetuán;;;18/05/2021 12:01;;;387;239,79;16834;;10430,7;79606
Madrid-Chamberí;;;18/05/2021 12:01;;;355;252,07;15837;;11245,15;79607
Madrid-Fuencarral-El Pardo;;;18/05/2021 12:01;;;558;223,28;23621;;9451,84;79608
Madrid-Moncloa-Aravaca;;;18/05/2021 12:01;;;346;284,39;13651;;11220,25;79609
Madrid-Latina;;;18/05/2021 12:01;;;564;232,91;24145;;9970,97;79610
Madrid-Carabanchel;;;18/05/2021 12:01;;;639;245,56;27892;;10718,62;79611
Madrid-Usera;;;18/05/2021 12:01;;;303;211,78;15988;;11174,72;79612
Madrid-Puente de Vallecas;;;18/05/2021 12:01;;;605;251,14;31502;;13076,47;79613
Madrid-San Blas - Canillejas;;;18/05/2021 12:01;;;334;207,24;16015;;9936,96;79620
Madrid-Barajas;;;18/05/2021 12:01;;;144;288,1;4649;;9301,16;79621
Madrid-Moratalaz;;;18/05/2021 12:01;;;241;252,18;10276;;10752,67;79614
Madrid-Ciudad Lineal;;;18/05/2021 12:01;;;530;241,03;23417;;10649,37;79615
Madrid-Hortaleza;;;18/05/2021 12:01;;;412;213,22;18353;;9498,25;79616
Madrid-Villaverde;;;18/05/2021 12:01;;;325;210,53;17257;;11178,91;79617
Madrid-Villa de Vallecas;;;18/05/2021 12:01;;;258;225,42;11520;;10065,27;79618
Madrid-Vicálvaro;;;18/05/2021 12:01;;;146;197,29;7146;;9656,23;79619
Alcorcón;;;18/05/2021 12:01;;;366;212,32;16312;;9462,6;72
Navalcarnero;;;18/05/2021 12:01;;;60;200,1;2592;;8644,32;967
San Agustín del Guadalix;;;18/05/2021 12:01;;;22;163,37;1444;;10723,3;1296
Las Rozas de Madrid;;;18/05/2021 12:01;;;248;258,03;8766;;9120,51;1277
Moraleja de Enmedio;;;18/05/2021 12:01;;;8;153,85;593;;11403,85;894
Valdaracete;;;18/05/2021 12:01;;;;0;68;;11239,67;1551
Pozuelo del Rey;;;18/05/2021 12:01;;;;85,32;77;;6569,97;1163
Puebla de la Sierra;;;18/05/2021 12:01;;;;0;19;;26027,4;1185
Perales de Tajuña;;;18/05/2021 12:01;;;5;167,22;254;;8494,98;1104
Valdemorillo;;;18/05/2021 12:01;;;17;133,1;858;;6717,82;1603
Navalafuente;;;18/05/2021 12:01;;;;66,18;127;;8405,03;941
Velilla de San Antonio;;;18/05/2021 12:01;;;12;96,93;1277;;10315,02;1678
Villanueva de la Cañada;;;18/05/2021 12:01;;;82;370,79;2150;;9721,91;1760
Villanueva del Pardillo;;;18/05/2021 12:01;;;44;252,93;1682;;9668,89;1776
Nuevo Baztán;;;18/05/2021 12:01;;;9;139,45;479;;7421,75;1006
Villamantilla;;;18/05/2021 12:01;;;;67,48;118;;7962,21;1757
Villamanta;;;18/05/2021 12:01;;;;115,16;229;;8790,79;1744
Cabanillas de la Sierra;;;18/05/2021 12:01;;;;127,39;86;;10955,41;297
Cenicientos;;;18/05/2021 12:01;;;;98,14;199;;9764,47;376
Puentes Viejas;;;18/05/2021 12:01;;;;0;33;;4721,03;9020
Aranjuez;;;18/05/2021 12:01;;;128;212,16;6470;;10723,99;133
Cercedilla;;;18/05/2021 12:01;;;7;97,15;767;;10645,39;382
Santorcaz;;;18/05/2021 12:01;;;;333,7;61;;6785,32;1369
Coslada;;;18/05/2021 12:01;;;206;253,1;8501;;10444,64;493
Morata de Tajuña;;;18/05/2021 12:01;;;22;280,36;827;;10539,06;915
Robregordo;;;18/05/2021 12:01;;;;0;5;;7692,31;1261
Navarredonda y San Mamés;;;18/05/2021 12:01;;;;775,19;16;;12403,1;973
Venturada;;;18/05/2021 12:01;;;;178,49;156;;6961,18;1697
Navacerrada;;;18/05/2021 12:01;;;;97,06;338;;10934,97;936
Montejo de la Sierra;;;18/05/2021 12:01;;;;824,18;49;;13461,54;881
Fresno de Torote;;;18/05/2021 12:01;;;18;782,95;128;;5567,64;571
Pinilla del Valle;;;18/05/2021 12:01;;;;526,32;9;;4736,84;1126
Valdemaqueda;;;18/05/2021 12:01;;;;258,06;70;;9032,26;1599
Navas del Rey;;;18/05/2021 12:01;;;;67,43;295;;9946,06;992
Olmeda de las Fuentes;;;18/05/2021 12:01;;;;289,02;27;;7803,47;1013
Bustarviejo;;;18/05/2021 12:01;;;8;317,21;155;;6145,92;284
Becerril de la Sierra;;;18/05/2021 12:01;;;14;238,3;653;;11114,89;186
Fuenlabrada;;;18/05/2021 12:01;;;453;232,89;21169;;10883,02;587
Garganta de los Montes;;;18/05/2021 12:01;;;;265,25;25;;6631,3;626
Pinto;;;18/05/2021 12:01;;;111;208,16;4485;;8410,69;1132
Alameda del Valle;;;18/05/2021 12:01;;;;0;7;;3431,37;35
Berzosa del Lozoya;;;18/05/2021 12:01;;;;0;54;;24324,32;203
Los Santos de la Humosa;;;18/05/2021 12:01;;;;111,36;217;;8054,94;1375
El Álamo;;;18/05/2021 12:01;;;11;111,54;998;;10119,65;40
Pelayos de la Presa;;;18/05/2021 12:01;;;5;186,85;231;;8632,29;1090
Galapagar;;;18/05/2021 12:01;;;54;156,54;3453;;10009,57;611
Griñón;;;18/05/2021 12:01;;;25;239,58;1164;;11154,77;663
Gargantilla del Lozoya y Pinilla de Buitrago;;;18/05/2021 12:01;;;;647,25;43;;13915,86;632
Aldea del Fresno;;;18/05/2021 12:01;;;;67,27;262;;8812,65;88
Carabaña;;;18/05/2021 12:01;;;;0;188;;9034,12;357
Talamanca de Jarama;;;18/05/2021 12:01;;;;99,7;405;;10094,72;1454
Chapinería;;;18/05/2021 12:01;;;;82,85;132;;5468,1;513
Ciempozuelos;;;18/05/2021 12:01;;;29;115,52;2377;;9468,61;409
Ajalvir;;;18/05/2021 12:01;;;5;105,91;295;;6248,68;29
San Lorenzo de El Escorial;;;18/05/2021 12:01;;;39;210,45;1492;;8050,94;1317
Gascones;;;18/05/2021 12:01;;;;0;11;;6250;647
San Martín de la Vega;;;18/05/2021 12:01;;;30;152,8;1886;;9606,28;1322
Móstoles;;;18/05/2021 12:01;;;551;262;21269;;10113,21;920
Leganés;;;18/05/2021 12:01;;;422;220,81;17880;;9355,67;745
Braojos;;;18/05/2021 12:01;;;;0;24;;11650,49;246
Cubas de la Sagra;;;18/05/2021 12:01;;;22;336,44;727;;11117,91;506
Algete;;;18/05/2021 12:01;;;46;220,48;2335;;11191,53;91
Mejorada del Campo;;;18/05/2021 12:01;;;34;143,83;2324;;9831,21;843
Loeches;;;18/05/2021 12:01;;;29;325,95;767;;8620,88;758
Parla;;;18/05/2021 12:01;;;336;251,72;14563;;10910,09;1065
Fuentidueña de Tajo;;;18/05/2021 12:01;;;7;327,72;212;;9925,09;604
Ambite;;;18/05/2021 12:01;;;;328,41;66;;10837,44;112
Torremocha de Jarama;;;18/05/2021 12:01;;;;279,07;61;;5674,42;1533
Anchuelo;;;18/05/2021 12:01;;;;155,52;74;;5754,28;127
Los Molinos;;;18/05/2021 12:01;;;10;225,58;486;;10963,23;875
Soto del Real;;;18/05/2021 12:01;;;5;55,67;748;;8328,69;1441
Valverde de Alcalá;;;18/05/2021 12:01;;;;0;36;;7228,92;1662
Fuente el Saz de Jarama;;;18/05/2021 12:01;;;11;161,6;836;;12281,47;590
Horcajo de la Sierra-Aoslos;;;18/05/2021 12:01;;;;0;7;;4605,26;702
Valdeolmos-Alalpardo;;;18/05/2021 12:01;;;8;189,04;400;;9451,8;1625
Campo Real;;;18/05/2021 12:01;;;8;124,61;716;;11152,65;339
Valdeavero;;;18/05/2021 12:01;;;6;377,12;106;;6662,48;1564
Villamanrique de Tajo;;;18/05/2021 12:01;;;;424,33;63;;8910,89;1739
Cobeña;;;18/05/2021 12:01;;;25;333,96;797;;10646,54;416
Fresnedillas de la Oliva;;;18/05/2021 12:01;;;;121,14;132;;7995,15;565
Valdilecha;;;18/05/2021 12:01;;;9;301,81;333;;11167;1659
El Berrueco;;;18/05/2021 12:01;;;;0;71;;9137,71;210
Pezuela de las Torres;;;18/05/2021 12:01;;;;0;57;;6574,39;1111
Villar del Olmo;;;18/05/2021 12:01;;;;0;129;;6204,91;1795
Guadarrama;;;18/05/2021 12:01;;;28;169,08;1562;;9432,37;685
San Martín de Valdeiglesias;;;18/05/2021 12:01;;;26;299,57;907;;10450,51;1338
Torrelodones;;;18/05/2021 12:01;;;80;334,7;2298;;9614,26;1527
Boadilla del Monte;;;18/05/2021 12:01;;;115;202,7;4649;;8194,38;225
Torrejón de Velasco;;;18/05/2021 12:01;;;6;136,8;455;;10373,92;1505
Villanueva de Perales;;;18/05/2021 12:01;;;;62,81;132;;8291,46;1782
Tielmes;;;18/05/2021 12:01;;;6;219,3;318;;11622,81;1467
San Sebastián de los Reyes;;;18/05/2021 12:01;;;230;252,13;9892;;10843,64;1343
Guadalix de la Sierra;;;18/05/2021 12:01;;;;62,11;505;;7841,61;679
Humanes de Madrid;;;18/05/2021 12:01;;;27;137,05;2152;;10923,3;730
Chinchón;;;18/05/2021 12:01;;;8;147,79;499;;9218,55;528
Cadalso de los Vidrios;;;18/05/2021 12:01;;;;98,46;288;;9451,92;318
Hoyo de Manzanares;;;18/05/2021 12:01;;;33;386,92;791;;9274,24;724
Torrejón de la Calzada;;;18/05/2021 12:01;;;20;217,53;832;;9049,38;1492
Estremera;;;18/05/2021 12:01;;;;74,96;145;;10869,57;552
Corpa;;;18/05/2021 12:01;;;;0;40;;5532,5;480
Meco;;;18/05/2021 12:01;;;31;211,32;991;;6755,28;838
Madarcos;;;18/05/2021 12:01;;;;0;6;;12244,9;783
Zarzalejo;;;18/05/2021 12:01;;;;57,67;132;;7612,46;1837
Arganda del Rey;;;18/05/2021 12:01;;;124;218,78;5375;;9483,4;148
Collado Mediano;;;18/05/2021 12:01;;;13;182,97;566;;7966,22;468
Daganzo de Arriba;;;18/05/2021 12:01;;;20;193,48;849;;8213,21;534
Manzanares El Real;;;18/05/2021 12:01;;;11;123,1;745;;8337,06;822
Buitrago del Lozoya;;;18/05/2021 12:01;;;;153,14;204;;10413,48;278
Valdelaguna;;;18/05/2021 12:01;;;;0;67;;6843,72;1570
Valdepiélagos;;;18/05/2021 12:01;;;5;814,33;44;;7166,12;1631
Casarrubuelos;;;18/05/2021 12:01;;;32;832,25;384;;9987;360
Miraflores de la Sierra;;;18/05/2021 12:01;;;10;157,18;578;;9085,19;856
Paracuellos de Jarama;;;18/05/2021 12:01;;;52;200,64;2116;;8164,53;1049
El Vellón;;;18/05/2021 12:01;;;;49,9;133;;6636,73;1684
Lozoya;;;18/05/2021 12:01;;;;172,41;26;;4482,76;761
Collado Villalba;;;18/05/2021 12:01;;;150;233;8008;;12439,03;474
Colmenarejo;;;18/05/2021 12:01;;;14;151,68;761;;8244,85;442
Villavieja del Lozoya;;;18/05/2021 12:01;;;;0;21;;8015,27;1821
Prádena del Rincón;;;18/05/2021 12:01;;;;0;;;3200;1179
La Cabrera;;;18/05/2021 12:01;;;5;182,75;343;;12536,55;301
Sevilla la Nueva;;;18/05/2021 12:01;;;22;234,22;887;;9443,2;1415
La Acebeda;;;18/05/2021 12:01;;;;0;;;2941,18;14
Redueña;;;18/05/2021 12:01;;;;0;8;;2962,96;1219
Robledillo de la Jara;;;18/05/2021 12:01;;;;0;11;;11578,95;1245
La Serna del Monte;;;18/05/2021 12:01;;;;1149,43;15;;17241,38;1381
Colmenar de Oreja;;;18/05/2021 12:01;;;7;85,85;804;;9860,19;437
Rozas de Puerto Real;;;18/05/2021 12:01;;;;0;37;;6666,67;1283
Valdemanco;;;18/05/2021 12:01;;;;0;53;;5503,63;1586
Brunete;;;18/05/2021 12:01;;;37;343,87;980;;9107,81;262
Titulcia;;;18/05/2021 12:01;;;;0;125;;9321,4;1473
Villa del Prado;;;18/05/2021 12:01;;;9;135,11;838;;12580,69;1718
Lozoyuela-Navas-Sieteiglesias;;;18/05/2021 12:01;;;;74,63;121;;9029,85;9015
Quijorna;;;18/05/2021 12:01;;;10;282,41;374;;10561,99;1198
Valdemoro;;;18/05/2021 12:01;;;213;275,66;6291;;8141,58;1610
Tres Cantos;;;18/05/2021 12:01;;;109;225,55;3554;;7354,22;9036
Torrelaguna;;;18/05/2021 12:01;;;12;247,22;452;;9311,91;1512
Rivas-Vaciamadrid;;;18/05/2021 12:01;;;202;222,04;7693;;8456,36;1230
El Atazar;;;18/05/2021 12:01;;;;0;;;1111,11;164
Pedrezuela;;;18/05/2021 12:01;;;23;373,98;655;;10650,41;1087
Santa María de la Alameda;;;18/05/2021 12:01;;;;75,7;71;;5374,72;1356
Horcajuelo de la Sierra;;;18/05/2021 12:01;;;;1123,6;;;4494,38;719
Arroyomolinos;;;18/05/2021 12:01;;;78;236,83;2450;;7438,89;151
Moralzarzal;;;18/05/2021 12:01;;;66;494,98;1405;;10536,97;908
Canencia;;;18/05/2021 12:01;;;;0;38;;8501,12;344
Villarejo de Salvanés;;;18/05/2021 12:01;;;19;255,62;871;;11718,01;1809
Serranillos del Valle;;;18/05/2021 12:01;;;14;326,26;422;;9834,54;1408
Villaviciosa de Odón;;;18/05/2021 12:01;;;53;188,29;2521;;8956,23;1816
Camarma de Esteruelas;;;18/05/2021 12:01;;;9;121,02;504;;6776,93;323
Robledo de Chavela;;;18/05/2021 12:01;;;9;206,23;263;;6026,58;1258
Patones;;;18/05/2021 12:01;;;;0;34;;6307,98;1071
Navalagamella;;;18/05/2021 12:01;;;;37,92;233;;8835,8;954
Rascafría;;;18/05/2021 12:01;;;18;1043,48;131;;7594,2;1202
El Boalo;;;18/05/2021 12:01;;;15;195,75;806;;10518,07;231
Majadahonda;;;18/05/2021 12:01;;;211;292,43;8347;;11568,15;800
Batres;;;18/05/2021 12:01;;;6;342,86;102;;5828,57;170
Alcobendas;;;18/05/2021 12:01;;;240;202,67;14279;;12058,23;66
Alcalá de Henares;;;18/05/2021 12:01;;;382;193,36;16674;;8439,88;53
Colmenar Viejo;;;18/05/2021 12:01;;;175;336,94;4903;;9440,1;455
San Fernando de Henares;;;18/05/2021 12:01;;;106;267,91;4317;;10910,88;1300
Villalbilla;;;18/05/2021 12:01;;;17;118,12;974;;6767,65;1723
El Escorial;;;18/05/2021 12:01;;;32;195,54;1261;;7705,47;549
Colmenar del Arroyo;;;18/05/2021 12:01;;;6;336,13;151;;8459,38;421
Torrejón de Ardoz;;;18/05/2021 12:01;;;326;245,38;13624;;10254,94;1489
Piñuécar-Gandullas;;;18/05/2021 12:01;;;;558,66;11;;6145,25;1147
Brea de Tajo;;;18/05/2021 12:01;;;;197,63;92;;18181,82;259
El Molar;;;18/05/2021 12:01;;;21;226,12;830;;8937,22;869
Belmonte de Tajo;;;18/05/2021 12:01;;;5;297,09;149;;8853,24;199
Torres de la Alameda;;;18/05/2021 12:01;;;;51,07;672;;8579,09;1548
Somosierra;;;18/05/2021 12:01;;;;3448,28;8;;9195,4;1436
Alpedrete;;;18/05/2021 12:01;;;43;289,78;1506;;10148,93;105
Orusco de Tajuña;;;18/05/2021 12:01;;;;0;108;;8339,77;1028
La Hiruela;;;18/05/2021 12:01;;;;0;;;4615,38;698
Cervera de Buitrago;;;18/05/2021 12:01;;;;0;16;;9876,54;395
Getafe;;;18/05/2021 12:01;;;476;257,05;18016;;9728,91;650
Ribatejada;;;18/05/2021 12:01;;;14;1747,82;74;;9238,45;1224
Villaconejos;;;18/05/2021 12:01;;;;0;399;;11659,85;1701
Valdetorres de Jarama;;;18/05/2021 12:01;;;;87,32;326;;7116,35;1646
Pozuelo de Alarcón;;;18/05/2021 12:01;;;213;244,36;8534;;9790,63;1150
Madrid-Retiro;;;11/05/2021 12:15;;;331;275,01;11807;;9809,74;79603
Madrid-Salamanca;;;11/05/2021 12:15;;;503;340,23;15735;;10643,19;79604
Madrid-Centro;;;11/05/2021 12:15;;;519;369,33;14963;;10648;79601
Madrid-Arganzuela;;;11/05/2021 12:15;;;468;300,68;15397;;9892,19;79602
Madrid-Chamartín;;;11/05/2021 12:15;;;477;323,28;15133;;10256,25;79605
Madrid-Tetuán;;;11/05/2021 12:15;;;513;317,87;16651;;10317,31;79606
Madrid-Chamberí;;;11/05/2021 12:15;;;504;357,87;15671;;11127,28;79607
Madrid-Fuencarral-El Pardo;;;11/05/2021 12:15;;;780;312,11;23377;;9354,2;79608
Madrid-Moncloa-Aravaca;;;11/05/2021 12:15;;;409;336,17;13473;;11073,94;79609
Madrid-Latina;;;11/05/2021 12:15;;;614;253,56;23837;;9843,78;79610
Madrid-Carabanchel;;;11/05/2021 12:15;;;784;301,28;27585;;10600,65;79611
Madrid-Usera;;;11/05/2021 12:15;;;367;256,51;15822;;11058,69;79612
Madrid-Puente de Vallecas;;;11/05/2021 12:15;;;774;321,29;31206;;12953,6;79613
Madrid-San Blas - Canillejas;;;11/05/2021 12:15;;;457;283,56;15864;;9843,27;79620
Madrid-Barajas;;;11/05/2021 12:15;;;148;296,1;4571;;9145,11;79621
Madrid-Moratalaz;;;11/05/2021 12:15;;;294;307,64;10152;;10622,91;79614
Madrid-Ciudad Lineal;;;11/05/2021 12:15;;;707;321,52;23161;;10532,95;79615
Madrid-Hortaleza;;;11/05/2021 12:15;;;568;293,96;18156;;9396,3;79616
Madrid-Villaverde;;;11/05/2021 12:15;;;409;264,95;17094;;11073,32;79617
Madrid-Villa de Vallecas;;;11/05/2021 12:15;;;295;257,75;11397;;9957,8;79618
Madrid-Vicálvaro;;;11/05/2021 12:15;;;175;236,47;7077;;9563;79619
Alcorcón;;;11/05/2021 12:15;;;456;264,53;16152;;9369,78;72
Navalcarnero;;;11/05/2021 12:15;;;74;246,79;2559;;8534,27;967
San Agustín del Guadalix;;;11/05/2021 12:15;;;41;304,47;1438;;10678,75;1296
Las Rozas de Madrid;;;11/05/2021 12:15;;;340;353,75;8658;;9008,15;1277
Moraleja de Enmedio;;;11/05/2021 12:15;;;20;384,62;590;;11346,15;894
Valdaracete;;;11/05/2021 12:15;;;;0;68;;11239,67;1551
Pozuelo del Rey;;;11/05/2021 12:15;;;;0;76;;6484,64;1163
Puebla de la Sierra;;;11/05/2021 12:15;;;;0;19;;26027,4;1185
Perales de Tajuña;;;11/05/2021 12:15;;;;100,33;250;;8361,2;1104
Valdemorillo;;;11/05/2021 12:15;;;18;140,93;851;;6663,01;1603
Navalafuente;;;11/05/2021 12:15;;;9;595,63;127;;8405,03;941
Velilla de San Antonio;;;11/05/2021 12:15;;;28;226,17;1271;;10266,56;1678
Villanueva de la Cañada;;;11/05/2021 12:15;;;85;384,35;2116;;9568,17;1760
Villanueva del Pardillo;;;11/05/2021 12:15;;;58;333,41;1664;;9565,42;1776
Nuevo Baztán;;;11/05/2021 12:15;;;16;247,91;478;;7406,26;1006
Villamantilla;;;11/05/2021 12:15;;;;202,43;118;;7962,21;1757
Villamanta;;;11/05/2021 12:15;;;6;230,33;228;;8752,4;1744
Cabanillas de la Sierra;;;11/05/2021 12:15;;;;0;85;;10828,03;297
Cenicientos;;;11/05/2021 12:15;;;6;294,41;198;;9715,41;376
Puentes Viejas;;;11/05/2021 12:15;;;;0;33;;4721,03;9020
Aranjuez;;;11/05/2021 12:15;;;128;212,16;6400;;10607,97;133
Cercedilla;;;11/05/2021 12:15;;;12;166,55;765;;10617,63;382
Santorcaz;;;11/05/2021 12:15;;;;0;58;;6451,61;1369
Coslada;;;11/05/2021 12:15;;;209;256,79;8398;;10318,09;493
Morata de Tajuña;;;11/05/2021 12:15;;;34;433,29;817;;10411,62;915
Robregordo;;;11/05/2021 12:15;;;;0;5;;7692,31;1261
Navarredonda y San Mamés;;;11/05/2021 12:15;;;;775,19;16;;12403,1;973
Venturada;;;11/05/2021 12:15;;;;178,49;155;;6916,56;1697
Navacerrada;;;11/05/2021 12:15;;;6;194,11;338;;10934,97;936
Montejo de la Sierra;;;11/05/2021 12:15;;;6;1648,35;49;;13461,54;881
Fresno de Torote;;;11/05/2021 12:15;;;11;478,47;118;;5132,67;571
Pinilla del Valle;;;11/05/2021 12:15;;;;526,32;9;;4736,84;1126
Valdemaqueda;;;11/05/2021 12:15;;;;0;68;;8774,19;1599
Navas del Rey;;;11/05/2021 12:15;;;6;202,29;293;;9878,62;992
Olmeda de las Fuentes;;;11/05/2021 12:15;;;;289,02;27;;7803,47;1013
Bustarviejo;;;11/05/2021 12:15;;;18;713,72;154;;6106,26;284
Becerril de la Sierra;;;11/05/2021 12:15;;;23;391,49;645;;10978,72;186
Fuenlabrada;;;11/05/2021 12:15;;;559;287,38;20960;;10775,57;587
Garganta de los Montes;;;11/05/2021 12:15;;;;0;24;;6366,05;626
Pinto;;;11/05/2021 12:15;;;141;264,42;4424;;8296,3;1132
Alameda del Valle;;;11/05/2021 12:15;;;;0;7;;3431,37;35
Berzosa del Lozoya;;;11/05/2021 12:15;;;;0;54;;24324,32;203
Los Santos de la Humosa;;;11/05/2021 12:15;;;8;296,96;216;;8017,82;1375
El Álamo;;;11/05/2021 12:15;;;20;202,8;994;;10079,09;40
Pelayos de la Presa;;;11/05/2021 12:15;;;10;373,69;230;;8594,92;1090
Galapagar;;;11/05/2021 12:15;;;78;226,11;3427;;9934,2;611
Griñón;;;11/05/2021 12:15;;;28;268,33;1152;;11039,77;663
Gargantilla del Lozoya y Pinilla de Buitrago;;;11/05/2021 12:15;;;;0;41;;13268,61;632
Aldea del Fresno;;;11/05/2021 12:15;;;10;336,36;262;;8812,65;88
Carabaña;;;11/05/2021 12:15;;;;144,16;188;;9034,12;357
Talamanca de Jarama;;;11/05/2021 12:15;;;10;249,25;404;;10069,79;1454
Chapinería;;;11/05/2021 12:15;;;;165,7;131;;5426,68;513
Ciempozuelos;;;11/05/2021 12:15;;;22;87,64;2360;;9400,89;409
Ajalvir;;;11/05/2021 12:15;;;15;317,73;293;;6206,31;29
San Lorenzo de El Escorial;;;11/05/2021 12:15;;;52;280,6;1474;;7953,81;1317
Gascones;;;11/05/2021 12:15;;;;0;11;;6250;647
San Martín de la Vega;;;11/05/2021 12:15;;;41;208,83;1874;;9545,15;1322
Móstoles;;;11/05/2021 12:15;;;685;325,71;21024;;9996,72;920
Leganés;;;11/05/2021 12:15;;;557;291,45;17676;;9248,93;745
Braojos;;;11/05/2021 12:15;;;;0;24;;11650,49;246
Cubas de la Sagra;;;11/05/2021 12:15;;;21;321,15;715;;10934,39;506
Algete;;;11/05/2021 12:15;;;90;431,37;2315;;11095,67;91
Mejorada del Campo;;;11/05/2021 12:15;;;51;215,75;2310;;9771,99;843
Loeches;;;11/05/2021 12:15;;;31;348,43;750;;8429,81;758
Parla;;;11/05/2021 12:15;;;411;307,91;14385;;10776,73;1065
Fuentidueña de Tajo;;;11/05/2021 12:15;;;;46,82;206;;9644,19;604
Ambite;;;11/05/2021 12:15;;;;656,81;64;;10509,03;112
Torremocha de Jarama;;;11/05/2021 12:15;;;;279,07;60;;5581,4;1533
Anchuelo;;;11/05/2021 12:15;;;;155,52;73;;5676,52;127
Los Molinos;;;11/05/2021 12:15;;;11;248,14;480;;10827,88;875
Soto del Real;;;11/05/2021 12:15;;;18;200,42;744;;8284,16;1441
Valverde de Alcalá;;;11/05/2021 12:15;;;;0;36;;7228,92;1662
Fuente el Saz de Jarama;;;11/05/2021 12:15;;;34;499,49;831;;12208,02;590
Horcajo de la Sierra-Aoslos;;;11/05/2021 12:15;;;;0;7;;4605,26;702
Valdeolmos-Alalpardo;;;11/05/2021 12:15;;;26;614,37;400;;9451,8;1625
Campo Real;;;11/05/2021 12:15;;;15;233,64;713;;11105,92;339
Valdeavero;;;11/05/2021 12:15;;;6;377,12;105;;6599,62;1564
Villamanrique de Tajo;;;11/05/2021 12:15;;;;282,89;61;;8628,01;1739
Cobeña;;;11/05/2021 12:15;;;34;454,18;781;;10432,81;416
Fresnedillas de la Oliva;;;11/05/2021 12:15;;;;181,71;131;;7934,59;565
Valdilecha;;;11/05/2021 12:15;;;8;268,28;328;;10999,33;1659
El Berrueco;;;11/05/2021 12:15;;;;0;71;;9137,71;210
Pezuela de las Torres;;;11/05/2021 12:15;;;;0;57;;6574,39;1111
Villar del Olmo;;;11/05/2021 12:15;;;;96,2;129;;6204,91;1795
Guadarrama;;;11/05/2021 12:15;;;49;295,89;1549;;9353,86;685
San Martín de Valdeiglesias;;;11/05/2021 12:15;;;24;276,53;890;;10254,64;1338
Torrelodones;;;11/05/2021 12:15;;;87;363,99;2260;;9455,28;1527
Boadilla del Monte;;;11/05/2021 12:15;;;144;253,82;4601;;8109,78;225
Torrejón de Velasco;;;11/05/2021 12:15;;;5;114;451;;10282,72;1505
Villanueva de Perales;;;11/05/2021 12:15;;;;251,26;131;;8228,64;1782
Tielmes;;;11/05/2021 12:15;;;;146,2;313;;11440,06;1467
San Sebastián de los Reyes;;;11/05/2021 12:15;;;285;312,42;9784;;10725,25;1343
Guadalix de la Sierra;;;11/05/2021 12:15;;;10;155,28;504;;7826,09;679
Humanes de Madrid;;;11/05/2021 12:15;;;50;253,79;2143;;10877,62;730
Chinchón;;;11/05/2021 12:15;;;7;129,32;496;;9163,13;528
Cadalso de los Vidrios;;;11/05/2021 12:15;;;;32,82;286;;9386,28;318
Hoyo de Manzanares;;;11/05/2021 12:15;;;35;410,36;774;;9074,92;724
Torrejón de la Calzada;;;11/05/2021 12:15;;;27;293,67;822;;8940,61;1492
Estremera;;;11/05/2021 12:15;;;;74,96;145;;10869,57;552
Corpa;;;11/05/2021 12:15;;;;276,63;40;;5532,5;480
Meco;;;11/05/2021 12:15;;;38;259,03;977;;6659,85;838
